glyph,unicode,广韵信息,反切,polyhedron中古全拼,mandarin_pinyin,cantonese_jyutping
臞,U+81DE,"群合三去虞
群合三平虞","其遇
其俱","gyoh
gyo",qú,keoi4
癯,U+766F,群合三平虞,其俱,gyo,qú,keoi4
鴝,U+9D1D,"群合三平虞
見開一平侯","其俱
古侯","gyo
ku",gòu；gōu；qú,keoi4
鸜,U+9E1C,群合三平虞,其俱,gyo,qú,keoi4
灈,U+7048,群合三平虞,其俱,gyo,qú,keoi4
躣,U+8EA3,群合三平虞,其俱,gyo,qú,keoi4
忂,U+5FC2,群合三平虞,其俱,gyo,jù；qú,keoi4
𩢳,U+298B3,群合三平虞,其俱,gyo,qú,
鼩,U+9F29,群合三平虞,其俱,gyo,qú,keoi4
斪,U+65AA,群合三平虞,其俱,gyo,qú,keoi4
句,U+53E5,"群合三平虞
見合三去虞
見開一去侯
見開一平侯","其俱
九遇
古候
古侯","gyo
kyoh
kuh
ku",gòu；gōu；jù；qú,au1；gau1；geoi2；geoi3；ngau1
蠷,U+8837,群合三平虞,其俱,gyo,qú,keoi4
瞿,U+77BF,"群合三平虞
見合三去虞","其俱
九遇","gyo
kyoh",jí；jù；qú,geoi3；keoi4
欋,U+6B0B,群合三平虞,其俱,gyo,qú,keoi4
葋,U+844B,群合三平虞,其俱,gyo,qú,keoi4
翵,U+7FF5,"匣開一平侯
群合三平虞","戸鉤
其俱","ghu
gyo",hóu；qú,hau4
翑,U+7FD1,群合三平虞,其俱,gyo,qú,keoi4
蚼,U+86BC,"曉開一上侯
群合三平虞","呼后
其俱","hux
gyo",gǒu；qú；xù,au1；ngau1
𪓞,U+2A4DE,群合三平虞,其俱,gyo,,
𧾱,U+27FB1,群合三平虞,其俱,gyo,qú,
䞤,U+47A4,"滂合三上虞
群合三平虞","芳武
其俱","phyox
gyo",fǔ；qú；qǔ,keoi4
𠣪,U+208EA,群合三平虞,其俱,gyo,qú,
絇,U+7D47,"群合三平虞
見合三去虞","其俱
九遇","gyo
kyoh",qú,keoi4
𡱺,U+21C7A,群合三平虞,其俱,gyo,qú,
𥃔,U+250D4,群合三平虞,其俱,gyo,qú,
𥗫,U+255EB,"群合三平虞
見合三平虞","其俱
舉朱","gyo
kyo",qú,
戵,U+6235,群合三平虞,其俱,gyo,qú,keoi4
鑺,U+947A,群合三平虞,其俱,gyo,qú,keoi4
儒,U+5112,日合三平虞,人朱,njyo,rú,jyu4
獳,U+7373,"日合三平虞
泥開一平侯","人朱
奴鉤","njyo
nu",nòu；rú,lau6；nau6
濡,U+6FE1,"日合三平虞
泥合一平桓","人朱
乃官","njyo
nuan",nuán；nuò；ruǎn；rú；ér,jyu4
襦,U+8966,日合三平虞,人朱,njyo,rú,jyu4
懦,U+61E6,日合三平虞,人朱,njyo,nuò,lo6；no6
嚅,U+5685,日合三平虞,人朱,njyo,rú,jyu4
鱬,U+9C6C,日合三平虞,人朱,njyo,rú,jyu4
𪋯,U+2A2EF,"心合三平虞
日合三平虞","相俞
人朱","syo
njyo",,
嬬,U+5B2C,日合三平虞,人朱,njyo,nòu；rú,jyu4
繻,U+7E7B,"心合三平虞
日合三平虞","相俞
人朱","syo
njyo",rú；xū,jyu4；seoi1
顬,U+986C,日合三平虞,人朱,njyo,rú,jyu4
䞕,U+4795,日合三平虞,人朱,njyo,rú；yú,jyu4
臑,U+81D1,日合三平虞,人朱,njyo,nuǎn；nào；nèn；rú；ér,ji4；jyu4；laau6；naau6；nou6
醹,U+91B9,"日合三上虞
日合三平虞","而主
人朱","njyox
njyo",rú,jyu4
㼱,U+3F31,"日合三上仙A
日合三平虞
精合三去諄","而兖
人朱
子峻","njyenx
njyo
cynh",jùn；ruǎn,jyun5
䰰,U+4C30,"日合三平虞
泥開一平侯","人朱
奴鉤","njyo
nu",rú,jyu4
須,U+9808,心合三平虞,相俞,syo,xū,seoi1
鬚,U+9B1A,心合三平虞,相俞,syo,xū,sou1
嬃,U+5B03,心合三平虞,相俞,syo,xū,seoi1
𩓣,U+294E3,心合三平虞,相俞,syo,xū,
𥪥,U+25AA5,心合三平虞,相俞,syo,,
𢄼,U+2213C,心合三平虞,相俞,syo,xū,
需,U+9700,心合三平虞,相俞,syo,nuò；ruǎn；rú；xū,seoi1
娶,U+5A36,"心合三平虞
清合三去虞","相俞
七句","syo
chyoh",jū；qǔ；shū,ceoi2；ceoi3；cou2
緰,U+7DF0,"定開一平侯
心合三平虞","度侯
相俞","du
syo",tóu；xū；yú,tau4
蕦,U+8566,心合三平虞,相俞,syo,xū,seoi1
鑐,U+9450,心合三平虞,相俞,syo,róu；rú；xū,seoi1
隃,U+9683,"以合三平虞
心合三平虞
書合三去虞
書合三平虞","羊朱
相俞
傷遇
式朱","jyo
syo
sjyoh
sjyo",shù；yáo；yú,jyu4
株,U+682A,知合三平虞,陟輸,tryo,zhū,zyu1
誅,U+8A85,知合三平虞,陟輸,tryo,zhū,zyu1
邾,U+90BE,知合三平虞,陟輸,tryo,zhū,zyu1
鼄,U+9F04,知合三平虞,陟輸,tryo,zhū,zyu1
蛛,U+86DB,知合三平虞,陟輸,tryo,zhū,zyu1
跦,U+8DE6,知合三平虞,陟輸,tryo,chú；zhū,zyu1
袾,U+88BE,"昌合三平虞
知合三平虞","昌朱
陟輸","chjyo
tryo",zhū,zyu1
列,U+5217,"來開三入仙A
知合三平虞","良辥
陟輸","liet
tryo",liè；lì,laat6；lit6
㦵,U+39B5,知合三平虞,陟輸,tryo,zhū,zyu1
鴸,U+9D38,"知合三平虞
章合三平虞","陟輸
章俱","tryo
cjyo",zhū,zyu1
𪏿,U+2A3FF,知合三平虞,陟輸,tryo,zhū,
貙,U+8C99,徹合三平虞,敕俱,thryo,chū,ceoi1
𤠾,U+2483E,徹合三平虞,敕俱,thryo,,jyu6
殊,U+6B8A,常合三平虞,市朱,zjyo,shū,syu4
銖,U+9296,常合三平虞,市朱,zjyo,zhū,zyu1
洙,U+6D19,常合三平虞,市朱,zjyo,zhū,zyu1
茱,U+8331,常合三平虞,市朱,zjyo,zhū,zyu1
㼡,U+3F21,常合三平虞,市朱,zjyo,shū,syu4
殳,U+6BB3,常合三平虞,市朱,zjyo,shū,syu4
𢎦,U+223A6,常合三平虞,市朱,zjyo,,
㸡,U+3E21,常合三平虞,市朱,zjyo,shū,syu4
𦤂,U+26902,常合三平虞,市朱,zjyo,shū,
陎,U+964E,常合三平虞,市朱,zjyo,shū,syu4
𠘧,U+20627,常合三平虞,市朱,zjyo,shū,
杸,U+6778,常合三平虞,市朱,zjyo,duì；shū,syu4
逾,U+903E,以合三平虞,羊朱,jyo,dòu；yú,jyu4
踰,U+8E30,以合三平虞,羊朱,jyo,chū；yáo；yú,jyu4
窬,U+7AAC,"以合三平虞
定開一去侯
定開一平侯","羊朱
田候
度侯","jyo
duh
du",dōu；yú,jyu4
臾,U+81FE,"以合三平虞
群合三去脂B","羊朱
求位","jyo
gyih",kuì；yú；yǒng；yǔ,jyu4
楰,U+6970,"以合三上虞
以合三平虞","以主
羊朱","jyox
jyo",yú,jyu4
腴,U+8174,以合三平虞,羊朱,jyo,yú,jyu4
諛,U+8ADB,以合三平虞,羊朱,jyo,yú,jyu4
鄃,U+9103,"以合三平虞
書合三平虞","羊朱
式朱","jyo
sjyo",shū,syu1
覦,U+89A6,"以合三去虞
以合三平虞","羊戍
羊朱","jyoh
jyo",yú,jyu4
𨵦,U+28D66,以合三平虞,羊朱,jyo,yú,
俞,U+4FDE,"以合三平虞
徹開三去尤","羊朱
丑救","jyo
thriuh",shù；yú,jyu4；jyu6；syu3
歈,U+6B48,"以合三平虞
定開一平侯","羊朱
度侯","jyo
du",yú,jyu4
愉,U+6109,以合三平虞,羊朱,jyo,tōu；yú；yǔ,jyu4；jyu6；tau1
𢋅,U+222C5,"以合三平虞
以開三平尤","羊朱
以周","jyo
ju",yú,
揄,U+63C4,"以合三平虞
以開三平尤
定開一上侯
定開一平侯","羊朱
以周
徒口
度侯","jyo
ju
dux
du",chōu；shū；yáo；yóu；yú,jyu4
褕,U+8915,"以合三平虞
以開三平宵A","羊朱
餘昭","jyo
jeu",tóu；yú,jyu4
瑜,U+745C,以合三平虞,羊朱,jyo,yú,jyu4
崳,U+5D33,以合三平虞,羊朱,jyo,yú,jyu4
㥚,U+395A,"以合三上虞
以合三平虞","以主
羊朱","jyox
jyo",yú；yǔ,jyu4
羭,U+7FAD,以合三平虞,羊朱,jyo,yú,jyu4
蝓,U+8753,以合三平虞,羊朱,jyo,yú,jyu4
榆,U+6986,以合三平虞,羊朱,jyo,yú,jyu4
萸,U+8438,以合三平虞,羊朱,jyo,yú,jyu4
堬,U+582C,以合三平虞,羊朱,jyo,yú,jyu4
牏,U+724F,"以合三平虞
定開一平侯
澄合三去虞","羊朱
度侯
持遇","jyo
du
dryoh",yú,jyu4；tau4
渝,U+6E1D,以合三平虞,羊朱,jyo,yú；yū,jyu4
媮,U+5AAE,"以合三平虞
透開一平侯","羊朱
託侯","jyo
thu",tōu；yú,jyu4；tau1
𤜹,U+24739,以合三平虞,羊朱,jyo,yú,
㳛,U+3CDB,"以合三平虞
以開三平尤","羊朱
以周","jyo
ju",yóu；yú,jyu4
𤧙,U+249D9,以合三平虞,羊朱,jyo,yú,
瘉,U+7609,"以合三上虞
以合三平虞","以主
羊朱","jyox
jyo",yù,jyu5；jyu6
螸,U+87B8,以合三平虞,羊朱,jyo,yú,jyu4
蕍,U+854D,以合三平虞,羊朱,jyo,yú,jyu4
𦺮,U+26EAE,"以合三上虞
以合三平虞","以主
羊朱","jyox
jyo",,
䩱,U+4A71,"以合三平虞
書合三去虞","羊朱
傷遇","jyo
sjyoh",shù；shū；yú,syu3
䜽,U+473D,以合三平虞,羊朱,jyo,yú,jyu4
萮,U+842E,以合三平虞,羊朱,jyo,yù；yú；yǔ,jyu4
𧃠,U+270E0,以合三平虞,羊朱,jyo,yú,
舀,U+8200,"以合三平虞
以開三上宵A
以開三平尤","羊朱
以沼
以周","jyo
jeux
ju",yǎo,jiu2；jiu5
㼶,U+3F36,以合三平虞,羊朱,jyo,yú,jyu4
騟,U+9A1F,以合三平虞,羊朱,jyo,yú,jyu4
𢔢,U+22522,以合三平虞,羊朱,jyo,yú,
𥯮,U+25BEE,以合三平虞,羊朱,jyo,yú,
𥔢,U+25522,以合三平虞,羊朱,jyo,yú,
區,U+5340,"影開一平侯
溪合三平虞","烏侯
豈俱","qu
khyo",gōu；kòu；qiū；qū；ōu,au1；keoi1；ngau1
鰸,U+9C38,溪合三平虞,豈俱,khyo,qū,keoi1
驅,U+9A45,"溪合三去虞
溪合三平虞","區遇
豈俱","khyoh
khyo",qū,keoi1
敺,U+657A,溪合三平虞,豈俱,khyo,qū；ōu,keoi1
嶇,U+5D87,溪合三平虞,豈俱,khyo,qū,keoi1
軀,U+8EC0,溪合三平虞,豈俱,khyo,qū,keoi1
摳,U+6473,"溪合三平虞
溪開一平侯","豈俱
恪侯","khyo
khu",kōu；ōu,kau1
䧢,U+49E2,溪合三平虞,豈俱,khyo,qū；ōu,keoi1
朱,U+6731,章合三平虞,章俱,cjyo,shū；zhū,zyu1
珠,U+73E0,章合三平虞,章俱,cjyo,zhū,zyu1
侏,U+4F8F,章合三平虞,章俱,cjyo,zhōu；zhū,zyu1
絑,U+7D51,章合三平虞,章俱,cjyo,zhū,zyu1
秼,U+79FC,章合三平虞,章俱,cjyo,zhū,zyu3
咮,U+54AE,"知合三去虞
知開三去尤
知開三平尤
章合三平虞","中句
陟救
張流
章俱","tryoh
triuh
triu
cjyo",rú；zhòu；zhù；zhū,zau3
鮢,U+9BA2,章合三平虞,章俱,cjyo,zhū,zyu1
𤝹,U+24779,章合三平虞,章俱,cjyo,zhū,
硃,U+7843,章合三平虞,章俱,cjyo,zhū,zyu1
趨,U+8DA8,清合三平虞,七逾,chyo,cù；cǒu；qù；qū,ceoi1；cuk1
鯫,U+9BEB,"崇開一上侯
從開一平侯
清合三平虞","仕垢
徂鉤
七逾","zr'ux
zu
chyo",zōu,zau1
慺,U+617A,"來合三上虞
來合三平虞
來開一平侯","力主
力朱
落侯","lyox
lyo
lu",lóu；lǚ,lau4
蔞,U+851E,"來合三上虞
來合三平虞
來開一平侯","力主
力朱
落侯","lyox
lyo
lu",jù；liǔ；lóu；lǚ,lau1；lau4；lau5
氀,U+6C00,來合三平虞,力朱,lyo,dōu；lǘ；shū；yú,leoi4
瞜,U+779C,"來合三平虞
來開一平侯","力朱
落侯","lyo
lu",lóu；lōu；lǘ,lau1；lau4
䱾,U+4C7E,"來合三平虞
來開一平侯","力朱
落侯","lyo
lu",lóu,lau4
㟺,U+37FA,來合三平虞,力朱,lyo,lóu,lau5
䝏,U+474F,"來合三平虞
來開一平侯","力朱
落侯","lyo
lu",lóu,lau1；lau4
㺏,U+3E8F,來合三平虞,力朱,lyo,lóu,lau1；lau4
摟,U+645F,"來合三平虞
來開一平侯","力朱
落侯","lyo
lu",lōu；lǒu,lau1；lau2；lau4；lau5
鷜,U+9DDC,"來合三平虞
來開一平侯","力朱
落侯","lyo
lu",lǘ；lǚ,leoi4
鏤,U+93E4,"來合三平虞
來開一去侯","力朱
盧候","lyo
luh",lòu；lǘ,lau6
䣚,U+48DA,"來合三平虞
來開一平侯","力朱
落侯","lyo
lu",lóu,lau4
婁,U+5A41,"來合三平虞
來開一平侯","力朱
落侯","lyo
lu",léi；lóu；lǘ；lǚ,lau4
瘻,U+763B,"來合三平虞
來開一去侯","力朱
盧候","lyo
luh",lòu；lǘ,lau6
𤗬,U+245EC,來合三平虞,力朱,lyo,lǘ,
膢,U+81A2,"來合三平虞
來開一平侯","力朱
落侯","lyo
lu",lǘ,lau4；leoi4
扶,U+6276,"並合三平虞
幫合三平虞","防無
甫無","byo
pyo",fú；pú,fu4
𢺻,U+22EBB,並合三平虞,防無,byo,,
芙,U+8299,並合三平虞,防無,byo,fú,fu4
符,U+7B26,並合三平虞,防無,byo,fú,fu4
颫,U+98AB,並合三平虞,防無,byo,fú,fu4
鳧,U+9CE7,並合三平虞,防無,byo,fú,fu4
榑,U+6991,並合三平虞,防無,byo,bó；fù；fú,fu4
苻,U+82FB,並合三平虞,防無,byo,fú；pú,fu4；pou4
蚨,U+86A8,並合三平虞,防無,byo,fú,fu4
夫,U+592B,"並合三平虞
幫合三平虞","防無
甫無","byo
pyo",fu；fú；fū,fu1；fu4
𦽏,U+26F4F,並合三平虞,防無,byo,fú,
𣿆,U+23FC6,並合三平虞,防無,byo,fú,
枹,U+67B9,"並合三平虞
並開三平尤
幫開二平肴","防無
縛謀
布交","byo
biu
prau",bāo；fú,baau1；fu1
瓿,U+74FF,"並合三平虞
並開一上侯","防無
蒲口","byo
bux",bù；pǒu,pau2
𧥱,U+27971,並合三平虞,防無,byo,fú,
枎,U+678E,並合三平虞,防無,byo,fú；fū,fu4
坿,U+577F,"並合三去虞
並合三平虞","符遇
防無","byoh
byo",fù；fú,fu6
泭,U+6CED,"並合三平虞
滂合三平虞","防無
芳無","byo
phyo",fú,fu1
𣻜,U+23EDC,並合三平虞,防無,byo,fú,
𤱽,U+24C7D,並合三平虞,防無,byo,fú,
𣘧,U+23627,並合三平虞,防無,byo,fū,
𣻥,U+23EE5,並合三平虞,防無,byo,,
𢞦,U+227A6,並合三平虞,防無,byo,fú,
𦑹,U+26479,並合三平虞,防無,byo,fú,
𦔾,U+2653E,並合三平虞,防無,byo,,
玸,U+73B8,並合三平虞,防無,byo,fú,fu4
䅳,U+4173,崇合三平虞,仕于,zryo,chú；zōu,co4
雛,U+96DB,崇合三平虞,仕于,zryo,chú；jù；jú,co1；co4
鶵,U+9DB5,崇合三平虞,仕于,zryo,chú,co1；co4
媰,U+5AB0,崇合三平虞,仕于,zryo,chú；zòu,co4
㑳,U+3473,"娘開二入咸
崇開三去尤
莊合三平虞","女洽
鋤佑
莊俱","nrep
zriuh
cryo",zhòu；zhū,cau1；zau3
搊,U+640A,"初開三平尤
莊合三平虞
莊開三上尤","楚鳩
莊俱
側九","chriu
cryo
criux",chōu；zhū；zǒu,cai1；cau1
敷,U+6577,滂合三平虞,芳無,phyo,fū,fu1
麩,U+9EA9,滂合三平虞,芳無,phyo,fū,fu1
麱,U+9EB1,滂合三平虞,芳無,phyo,fū,fu1
孚,U+5B5A,滂合三平虞,芳無,phyo,fú,fu1
𣞒,U+23792,滂合三平虞,芳無,phyo,fū,
郛,U+90DB,滂合三平虞,芳無,phyo,fú,fu1
鄜,U+911C,"來開一入東
滂合三平虞","盧谷
芳無","luk
phyo",fū；lù,fu1
鋪,U+92EA,"滂合三平虞
滂開一去模
滂開一平模","芳無
普故
普胡","phyo
phoh
pho",pu；pù；pū,pou1；pou3
筟,U+7B5F,滂合三平虞,芳無,phyo,fū,fu1
俘,U+4FD8,滂合三平虞,芳無,phyo,fú,fu1
痡,U+75E1,"滂合三平虞
滂開一平模","芳無
普胡","phyo
pho",fū；pù；pū,fu1；pou1
殍,U+6B8D,"並開三上宵B
並開三上脂B
滂合三平虞","平表
符鄙
芳無","bieux
biix
phyo",bì；piǎo,fu1；piu5
怤,U+6024,滂合三平虞,芳無,phyo,fū,fu1
䎔,U+4394,滂合三平虞,芳無,phyo,fū,fu1
𧀮,U+2702E,滂合三平虞,芳無,phyo,fū,
孵,U+5B75,滂合三平虞,芳無,phyo,fū,fu1
豧,U+8C67,"滂合三去虞
滂合三平虞
滂開一去侯
滂開一平模","芳遇
芳無
匹候
普胡","phyoh
phyo
phuh
pho",fù；fū；pū,fu1
尃,U+5C03,滂合三平虞,芳無,phyo,bù；fū；fǔ；pò,fu1
䱐,U+4C50,"並開三平尤
滂合三平虞","縛謀
芳無","biu
phyo",fū,fu1
罦,U+7F66,"並開三平尤
滂合三平虞","縛謀
芳無","biu
phyo",fú,fau4；fu1
稃,U+7A03,滂合三平虞,芳無,phyo,fū,fu1
𥹃,U+25E43,滂合三平虞,芳無,phyo,,
莩,U+83A9,"並開三上宵B
滂合三平虞","平表
芳無","bieux
phyo",fú；piǎo,fu1；piu5
郙,U+90D9,"幫合三上虞
滂合三平虞","方矩
芳無","pyox
phyo",fǔ,fu2
㕊,U+354A,滂合三平虞,芳無,phyo,fū,bou1
桴,U+6874,"並開三平尤
滂合三平虞","縛謀
芳無","biu
phyo",fú,fau4；fu1
䒀,U+4480,"並開一去模
滂合三平虞","薄故
芳無","boh
phyo",bù,bou6；fu1
㩤,U+3A64,滂合三平虞,芳無,phyo,fū,fu1
姇,U+59C7,滂合三平虞,芳無,phyo,fú；fū,fu1
紨,U+7D28,滂合三平虞,芳無,phyo,fù；fū,fu1
䓵,U+44F5,滂合三平虞,芳無,phyo,fū,fu1
㲗,U+3C97,滂合三平虞,芳無,phyo,fū,fu1
䓏,U+44CF,滂合三平虞,芳無,phyo,fū,fu1
秿,U+79FF,"並合三上虞
幫開一平模
滂合三平虞","扶雨
博孤
芳無","byox
po
phyo",bū；fù；pū,fu6
諏,U+8ACF,精合三平虞,子于,cyo,zhōu；zōu,zau1
㖩,U+35A9,精合三平虞,子于,cyo,jū；sǒu,zeoi1
𡸨,U+21E28,精合三平虞,子于,cyo,jū,
娵,U+5A35,精合三平虞,子于,cyo,jū,zeoi1；zyu1
陬,U+966C,"精合三平虞
精開一平侯
莊開三平尤","子于
子侯
側鳩","cyo
cu
criu",zhé；zōu,zau1
嗺,U+55FA,"心合一平灰
精合一平灰
精合三上脂A
精合三平虞","素回
臧回
遵誄
子于","suai
cuai
cyix
cyo",suī；zuī；zuǐ,ceoi1
掫,U+63AB,"精合三平虞
精開一平侯
莊開三上尤","子于
子侯
側九","cyo
cu
criux",chōu；zhōu；zōu,zau1
跗,U+8DD7,"並合三去虞
幫合三平虞","符遇
甫無","byoh
pyo",fù；fū,fu1
趺,U+8DBA,幫合三平虞,甫無,pyo,fū,fu1
膚,U+819A,幫合三平虞,甫無,pyo,fū；lú,fu1
肤,U+80A4,幫合三平虞,甫無,pyo,fū,fu1
邞,U+909E,幫合三平虞,甫無,pyo,fū,fu1
鈇,U+9207,幫合三平虞,甫無,pyo,fū；fǔ,fu1；fu2
衭,U+886D,幫合三平虞,甫無,pyo,fū,fu1；fu3
㠸,U+3838,幫合三平虞,甫無,pyo,kù,fu1
玞,U+739E,幫合三平虞,甫無,pyo,fū,fu1
𩿧,U+29FE7,幫合三平虞,甫無,pyo,fū,
𧀴,U+27034,幫合三平虞,甫無,pyo,fū,
簠,U+7C20,"幫合三上虞
幫合三平虞
滂合三去虞","方矩
甫無
芳遇","pyox
pyo
phyoh",fǔ,fu2
鳺,U+9CFA,幫合三平虞,甫無,pyo,fū；guī,fu1
柎,U+67CE,幫合三平虞,甫無,pyo,fù；fū；fǔ,fu1；fu2
𩬙,U+29B19,"幫合三去虞
幫合三平虞","方遇
甫無","pyoh
pyo",fù；fū,
𩵩,U+29D69,幫合三平虞,甫無,pyo,fū,
䄮,U+412E,幫合三平虞,甫無,pyo,fū,fu1
䃿,U+40FF,幫合三平虞,甫無,pyo,fū,fu1
妋,U+598B,"幫合三平虞
影開三平尤","甫無
於求","pyo
qiu",fū；yōu,fu1
紆,U+7D06,影合三平虞,憶俱,qyo,yū；ōu,jyu1
陓,U+9653,影合三平虞,憶俱,qyo,yū,jyu1；wu1
䩽,U+4A7D,影合三平虞,憶俱,qyo,yū,jyu1
䙔,U+4654,"影合三平虞
影開一上侯
影開一去侯
影開一平侯","憶俱
烏后
烏候
烏侯","qyo
qux
quh
qu",ōu,au1；ngau1
蓲,U+84F2,"影合三去虞
影合三平虞
影開一平侯
溪開三平尤","衣遇
憶俱
烏侯
去鳩","qyoh
qyo
qu
khiu",fū；qiū；xū；ōu,jau1
㝼,U+377C,影合三平虞,憶俱,qyo,yū,jyu1
虶,U+8676,影合三平虞,憶俱,qyo,yū,jyu1
䨕,U+4A15,影合三平虞,憶俱,qyo,,jyu1
輸,U+8F38,"書合三去虞
書合三平虞","傷遇
式朱","sjyoh
sjyo",shù；shū,syu1
樞,U+6A1E,昌合三平虞,昌朱,chjyo,shū；ōu,syu1
姝,U+59DD,昌合三平虞,昌朱,chjyo,shū,syu1；zyu1
𩪍,U+29A8D,昌合三平虞,昌朱,chjyo,qū；shū,
䇬,U+41EC,昌合三平虞,昌朱,chjyo,chuǎng；shū；zhū,zyu1
廚,U+5EDA,澄合三平虞,直誅,dryo,chú,ceoi2；ceoi4；cyu2；cyu4
蹰,U+8E70,澄合三平虞,直誅,dryo,chú,cyu4
趎,U+8D8E,澄合三平虞,直誅,dryo,chú,zyu1
幮,U+5E6E,澄合三平虞,直誅,dryo,chú,ceoi4；cyu4
裯,U+88EF,"澄合三平虞
澄開三平尤
端開一平豪","直誅
直由
都勞","dryo
driu
tau",chóu；dāo,cau4；dou1
拘,U+62D8,見合三平虞,舉朱,kyo,gōu；jú；jū；jǔ,keoi1
駒,U+99D2,見合三平虞,舉朱,kyo,jù；jū,keoi1
䀠,U+4020,"見合三去虞
見合三平虞","九遇
舉朱","kyoh
kyo",jù,keoi4
岣,U+5CA3,"見合三平虞
見開一上侯","舉朱
古厚","kyo
kux",gǒu,gau2
㪺,U+3ABA,見合三平虞,舉朱,kyo,jū,keoi1
𨞜,U+2879C,見合三平虞,舉朱,kyo,,
捄,U+6344,"群開三平尤
見合三平虞","巨鳩
舉朱","giu
kyo",jiù；jū；qiú,gau3；geoi1；kau4
跔,U+8DD4,見合三平虞,舉朱,kyo,jū；qǔ,keoi1；koe4
鮈,U+9B88,見合三平虞,舉朱,kyo,gǒu；jū；qú,keoi1
俱,U+4FF1,見合三平虞,舉朱,kyo,jù；jū,geoi1；keoi1
痀,U+75C0,見合三平虞,舉朱,kyo,gōu；jū,keoi1
𥇛,U+251DB,見合三平虞,舉朱,kyo,jù；jū；xì,
毹,U+6BF9,生合三平虞,山芻,sryo,shū；yú,jyu4；syu1
㡏,U+384F,"生合三去虞
生合三平虞","色句
山芻","sryoh
sryo",shù；shū；tóu；xū,syu1
橾,U+6A7E,生合三平虞,山芻,sryo,qiāo；shū；sāo,syu1
螋,U+878B,生合三平虞,山芻,sryo,sōu,sau1；sau2；sau3
模,U+6A21,明開一平模,莫胡,mo,mó；mú,mou2；mou4
橅,U+6A45,明開一平模,莫胡,mo,mó,mou4
摸,U+6478,"明開一入唐
明開一平模","慕各
莫胡","mak
mo",mo；mó；mō,mo2；mou4
嫫,U+5AEB,明開一平模,莫胡,mo,mó,mou4
㡔,U+3854,"明合三去虞
明開一入東
明開一平模","亡遇
莫卜
莫胡","myoh
muk
mo",wù,mou6
𨡭,U+2886D,"明開一平模
明開三平尤","莫胡
莫浮","mo
miu",mú,
謨,U+8B28,明開一平模,莫胡,mo,mó,mou4
𠻚,U+20EDA,明開一平模,莫胡,mo,mó,
膜,U+819C,"明開一入唐
明開一平模","慕各
莫胡","mak
mo",mó,mok2；mok6；mou4
酺,U+917A,並開一平模,薄胡,bo,pú,pou4
匍,U+530D,並開一平模,薄胡,bo,pú,pou4
蜅,U+8705,"並開一平模
幫合三上虞","薄胡
方矩","bo
pyox",fǔ；pú,fu2
荹,U+8379,"並開一去模
並開一平模","薄故
薄胡","boh
bo",bù；pú,bou6
樸,U+6A38,"並開一入東
並開一平模
幫開一入東
滂開二入江","蒲木
薄胡
博木
匹角","buk
bo
puk
phruk",pú；pǔ,buk6；pok3
菩,U+83E9,"並開一上咍
並開一入登
並開一平模
並開三上尤","薄亥
蒲北
薄胡
房久","baix
bok
bo
biux",bèi；bó；pú,pou4
䔕,U+4515,並開一平模,薄胡,bo,pú,pou4
蒲,U+84B2,並開一平模,薄胡,bo,bó；pú,bok6；pou4
蒱,U+84B1,並開一平模,薄胡,bo,pú,pou4
䈻,U+423B,並開一平模,薄胡,bo,pú,pou4
胡,U+80E1,匣開一平模,戸吳,gho,hú,wu2；wu4
𩑶,U+29476,匣開一平模,戸吳,gho,hú；kū,
𠴱,U+20D31,匣開一平模,戸吳,gho,hú,wu4
壺,U+58FA,匣開一平模,戸吳,gho,hú,wu2；wu4
狐,U+72D0,匣開一平模,戸吳,gho,hú,wu4
瓳,U+74F3,匣開一平模,戸吳,gho,hú,wu4
餬,U+992C,匣開一平模,戸吳,gho,hú,wu4
瑚,U+745A,匣開一平模,戸吳,gho,hú,wu4
湖,U+6E56,匣開一平模,戸吳,gho,hú,wu4
鶘,U+9D98,匣開一平模,戸吳,gho,hú,wu4
猢,U+7322,匣開一平模,戸吳,gho,hú,wu4
醐,U+9190,匣開一平模,戸吳,gho,hú,hu4；wu4
𪏻,U+2A3FB,匣開一平模,戸吳,gho,hú,
䊀,U+4280,匣開一平模,戸吳,gho,hú,wu4
𪍒,U+2A352,匣開一平模,戸吳,gho,,
糊,U+7CCA,匣開一平模,戸吳,gho,hu；hù；hú；hū,wu2；wu4
弧,U+5F27,匣開一平模,戸吳,gho,hú,wu4
乎,U+4E4E,匣開一平模,戸吳,gho,hu；hū,fu1；fu4；wu4
𠀒,U+20012,匣開一平模,戸吳,gho,,
𪕱,U+2A571,匣開一平模,戸吳,gho,hú,
瓠,U+74E0,"匣開一去模
匣開一平模","胡誤
戸吳","ghoh
gho",gū；huò；hù；hú,wok6；wu4；wu6
葫,U+846B,"匣開一平模
曉開一平模","戸吳
荒烏","gho
ho",hú,wu4
㾰,U+3FB0,匣開一平模,戸吳,gho,hú,wu4
魱,U+9B71,匣開一平模,戸吳,gho,hù；hú,wu4
箶,U+7BB6,匣開一平模,戸吳,gho,hú,wu4
䉉,U+4249,"匣開一平模
見開一平模","戸吳
古胡","gho
ko",gū；hú,gu1；gwu1
𥶜,U+25D9C,匣開一平模,戸吳,gho,hú,
𧛞,U+276DE,匣開一平模,戸吳,gho,hú,
㯛,U+3BDB,匣開一平模,戸吳,gho,hú,wu4
